state,case_rate_7_days,num_airports_2011
Alabama,27416,182
Arizona,28976,188
Arkansas,28402,213
California,25172,522
Colorado,26170,259
Connecticut,23101,51
Delaware,29064,30
District of Columbia,22000,3
Florida,29834,497
Georgia,24739,335
Idaho,25714,224
Illinois,26816,479
Indiana,26174,404
Iowa,25120,196
Kansas,27527,329
Kentucky,31168,153
Louisiana,26211,223
Maine,19966,114
Maryland,18598,148
Massachusetts,27740,77
Michigan,25954,362
Minnesota,27395,329
Mississippi,27735,186
Missouri,24192,359
Montana,26484,232
Nebraska,25667,207
Nevada,24856,98
New Hampshire,24305,52
New Jersey,27743,101
New Mexico,26497,143
New York ,57612,143
North Carolina,27144,335
North Dakota,32616,265
Ohio,24083,490
Oklahoma,26995,302
Oregon,18921,332
Pennsylvania,23335,433
Rhode Island,35955,9
South Carolina,29821,158
South Dakota,27499,144
Tennessee,30821,209
Texas,24182,1450
Utah,30217,90
Vermont,20121,62
Virginia,21674,290
Washington,21539,366
West Virginia,29465,76
Wisconsin,29439,439
Wyoming,28222,93